"subject"	"activity_labels"	"Mean"
"1"	25	"LAYING"	0.280725295970149
"2"	26	"LAYING"	0.271700731147959
"3"	27	"LAYING"	0.269351550726064
"4"	28	"LAYING"	0.264756993369372
"5"	29	"LAYING"	0.265468330127326
"6"	30	"LAYING"	0.269460107112272
"7"	8	"SITTING"	0.271450005148045
"8"	11	"SITTING"	0.276409037943038
"9"	14	"SITTING"	0.27735479498452
"10"	15	"SITTING"	0.271335498115854
"11"	16	"SITTING"	0.270243979734973
"12"	17	"SITTING"	0.270940336475472
"13"	17	"STANDING"	0.278962808058252
"14"	19	"STANDING"	0.278920184111111
"15"	21	"STANDING"	0.279897582769608
"16"	22	"STANDING"	0.27913864482866
"17"	23	"STANDING"	0.279628491290323
"18"	25	"STANDING"	0.27806610125731
"19"	2	"WALKING"	0.277035775165563
"20"	4	"WALKING"	0.275348159148265
"21"	9	"WALKING"	0.275692565451389
"22"	10	"WALKING"	0.279985233197279
"23"	12	"WALKING"	0.27475605709375
"24"	13	"WALKING"	0.274949617313433
"25"	1	"WALKING_DOWNSTAIRS"	0.299113041785714
"26"	3	"WALKING_DOWNSTAIRS"	0.29560749744868
"27"	5	"WALKING_DOWNSTAIRS"	0.284696973519868
"28"	6	"WALKING_DOWNSTAIRS"	0.285576016566154
"29"	7	"WALKING_DOWNSTAIRS"	0.287502874863636
"30"	8	"WALKING_DOWNSTAIRS"	0.280412192019608
"31"	1	"WALKING_UPSTAIRS"	0.261350614742947
"32"	13	"WALKING_UPSTAIRS"	0.260767611907937
"33"	18	"WALKING_UPSTAIRS"	0.263721991401099
"34"	20	"WALKING_UPSTAIRS"	0.26151143649435
"35"	24	"WALKING_UPSTAIRS"	0.262954121286089
"36"	25	"LAYING"	-0.0187590493820896
"37"	26	"LAYING"	-0.0172477991841327
"38"	27	"LAYING"	-0.0173085182900532
"39"	28	"LAYING"	-0.0114302681568586
"40"	29	"LAYING"	-0.0183137615536047
"41"	30	"LAYING"	-0.027199400754517
"42"	8	"SITTING"	-0.0104303952472626
"43"	11	"SITTING"	-0.0142550981743987
"44"	14	"SITTING"	-0.0149424929335294
"45"	15	"SITTING"	-0.0145240243305793
"46"	16	"SITTING"	-0.00888881908278689
"47"	17	"SITTING"	-0.0125815343936981
"48"	17	"STANDING"	-0.0158650304087379
"49"	19	"STANDING"	-0.0150611661576667
"50"	21	"STANDING"	-0.0158814562971569
"51"	22	"STANDING"	-0.0154299307292212
"52"	23	"STANDING"	-0.0162864044624194
"53"	25	"STANDING"	-0.0182403312185906
"54"	2	"WALKING"	-0.0164630362399007
"55"	4	"WALKING"	-0.0183423694895899
"56"	9	"WALKING"	-0.0178793729601872
"57"	10	"WALKING"	-0.0176354220238912
"58"	12	"WALKING"	-0.0184501518393188
"59"	13	"WALKING"	-0.018960579641393
"60"	1	"WALKING_DOWNSTAIRS"	-0.0212017642017857
"61"	3	"WALKING_DOWNSTAIRS"	-0.0175375719563343
"62"	5	"WALKING_DOWNSTAIRS"	-0.013951689624043
"63"	6	"WALKING_DOWNSTAIRS"	-0.0157286345845953
"64"	7	"WALKING_DOWNSTAIRS"	-0.0175674173482792
"65"	8	"WALKING_DOWNSTAIRS"	-0.0159276937036275
"66"	1	"WALKING_UPSTAIRS"	-0.0264565305906583
"67"	13	"WALKING_UPSTAIRS"	-0.0326269458058254
"68"	18	"WALKING_UPSTAIRS"	-0.0269734210495907
"69"	20	"WALKING_UPSTAIRS"	-0.0247298179280444
"70"	24	"WALKING_UPSTAIRS"	-0.0233654830191601
"71"	25	"LAYING"	-0.108383427238806
"72"	26	"LAYING"	-0.108973449334184
"73"	27	"LAYING"	-0.108672454014362
"74"	28	"LAYING"	-0.109681267530628
"75"	29	"LAYING"	-0.104858724866279
"76"	30	"LAYING"	-0.10455639072846
"77"	8	"SITTING"	-0.103629364811732
"78"	11	"SITTING"	-0.108042791785759
"79"	14	"SITTING"	-0.107996625216718
"80"	15	"SITTING"	-0.104285043575305
"81"	16	"SITTING"	-0.103405001055191
"82"	17	"SITTING"	-0.105199628656604
"83"	17	"STANDING"	-0.104397408271845
"84"	19	"STANDING"	-0.107318238142006
"85"	21	"STANDING"	-0.105753279258431
"86"	22	"STANDING"	-0.105200187357975
"87"	23	"STANDING"	-0.104392862868737
"88"	25	"STANDING"	-0.111159082207602
"89"	2	"WALKING"	-0.10809546757947
"90"	4	"WALKING"	-0.109462967561514
"91"	9	"WALKING"	-0.112560873451389
"92"	10	"WALKING"	-0.10673910740034
"93"	12	"WALKING"	-0.107957683871875
"94"	13	"WALKING"	-0.108479533427861
"95"	1	"WALKING_DOWNSTAIRS"	-0.09769238645
"96"	3	"WALKING_DOWNSTAIRS"	-0.105504222760997
"97"	5	"WALKING_DOWNSTAIRS"	-0.101906596421523
"98"	6	"WALKING_DOWNSTAIRS"	-0.107013173113538
"99"	7	"WALKING_DOWNSTAIRS"	-0.106715345357468
"100"	8	"WALKING_DOWNSTAIRS"	-0.113383509997824
"101"	1	"WALKING_UPSTAIRS"	-0.125493264355486
"102"	13	"WALKING_UPSTAIRS"	-0.121115902561111
"103"	18	"WALKING_UPSTAIRS"	-0.118495435912088
"104"	20	"WALKING_UPSTAIRS"	-0.119295293235593
"105"	24	"WALKING_UPSTAIRS"	-0.119303788980052
"106"	25	"LAYING"	-0.971493844029851
"107"	26	"LAYING"	-0.966238140808673
"108"	27	"LAYING"	-0.964517379787234
"109"	28	"LAYING"	-0.95082121552356
"110"	29	"LAYING"	-0.956420863354651
"111"	30	"LAYING"	-0.964271907362924
"112"	8	"SITTING"	-0.985591702402235
"113"	11	"SITTING"	-0.984459873196203
"114"	14	"SITTING"	-0.984992888328173
"115"	15	"SITTING"	-0.982232765792683
"116"	16	"SITTING"	-0.981892883852459
"117"	17	"SITTING"	-0.982550399207547
"118"	17	"STANDING"	-0.982234962135922
"119"	19	"STANDING"	-0.979804294138889
"120"	21	"STANDING"	-0.982411041960784
"121"	22	"STANDING"	-0.99030232576324
"122"	23	"STANDING"	-0.985302961021505
"123"	25	"STANDING"	-0.985933801374269
"124"	2	"WALKING"	-0.305292851393377
"125"	4	"WALKING"	-0.309057851830915
"126"	9	"WALKING"	-0.310182354402083
"127"	10	"WALKING"	-0.298689068072483
"128"	12	"WALKING"	-0.34175727535
"129"	13	"WALKING"	-0.324072328248756
"130"	1	"WALKING_DOWNSTAIRS"	0.0899250528142857
"131"	3	"WALKING_DOWNSTAIRS"	0.0570255650879765
"132"	5	"WALKING_DOWNSTAIRS"	0.106178079844702
"133"	6	"WALKING_DOWNSTAIRS"	0.126277066483603
"134"	7	"WALKING_DOWNSTAIRS"	0.117130712372727
"135"	8	"WALKING_DOWNSTAIRS"	0.103252509663725
"136"	1	"WALKING_UPSTAIRS"	-0.237008464769592
"137"	13	"WALKING_UPSTAIRS"	-0.224874097285159
"138"	18	"WALKING_UPSTAIRS"	-0.224392176905495
"139"	20	"WALKING_UPSTAIRS"	-0.283784730901695
"140"	24	"WALKING_UPSTAIRS"	-0.213589992607743
"141"	25	"LAYING"	-0.954455585373134
"142"	26	"LAYING"	-0.959703552892857
"143"	27	"LAYING"	-0.960534891755319
"144"	28	"LAYING"	-0.931695421937173
"145"	29	"LAYING"	-0.92705858456686
"146"	30	"LAYING"	-0.934853076321149
"147"	8	"SITTING"	-0.934256344882682
"148"	11	"SITTING"	-0.936252482911392
"149"	14	"SITTING"	-0.937704917013406
"150"	15	"SITTING"	-0.940884641640244
"151"	16	"SITTING"	-0.931665183445355
"152"	17	"SITTING"	-0.927233140139623
"153"	17	"STANDING"	-0.92635222815534
"154"	19	"STANDING"	-0.924515609638889
"155"	21	"STANDING"	-0.928296442058824
"156"	22	"STANDING"	-0.950275788598131
"157"	23	"STANDING"	-0.933585472580645
"158"	25	"STANDING"	-0.929954496081871
